municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Aldea del Fresno                            ;2020/04/13 07:00:00;;165,78;30;994,69;88
Carabaña                                    ;2020/04/13 07:00:00;;171,62;11;629,29;357
Talamanca de Jarama                         ;2020/04/13 07:00:00;12;383,14;20;638,57;1454
Chapinería                                  ;2020/04/13 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/13 07:00:00;29;112,99;139;541,57;409
Ajalvir                                     ;2020/04/13 07:00:00;;105,35;9;189,63;29
San Lorenzo de El Escorial                  ;2020/04/13 07:00:00;23;129,83;63;355,63;1317
Gascones                                    ;2020/04/13 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/13 07:00:00;18;88,39;61;299,53;1322
Móstoles                                    ;2020/04/13 07:00:00;604;276,37;1446;661,64;920
Leganés                                     ;2020/04/13 07:00:00;1120;568,79;2417;1227,48;745
Braojos                                     ;2020/04/13 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/13 07:00:00;6;108,21;18;324,62;506
Algete                                      ;2020/04/13 07:00:00;43;193,65;81;364,78;91
Mejorada del Campo                          ;2020/04/13 07:00:00;66;269,32;149;608,01;843
Loeches                                     ;2020/04/13 07:00:00;20;288,56;47;678,11;758
Parla                                       ;2020/04/13 07:00:00;210;153,61;587;429,39;1065
Fuentidueña de Tajo                         ;2020/04/13 07:00:00;;50,43;15;756,43;604
Ambite                                      ;2020/04/13 07:00:00;;601,2;6;1202,4;112
Torremocha de Jarama                        ;2020/04/13 07:00:00;;124,53;8;996,26;1533
Anchuelo                                    ;2020/04/13 07:00:00;;261,78;7;916,23;127
Los Molinos                                 ;2020/04/13 07:00:00;15;374,34;36;898,43;875
Soto del Real                               ;2020/04/13 07:00:00;22;224,58;49;500,2;1441
Valverde de Alcalá                          ;2020/04/13 07:00:00;;375,94;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/13 07:00:00;13;152,22;20;234,19;590
Horcajo de la Sierra-Aoslos                 ;2020/04/13 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/13 07:00:00;;73,8;8;295,2;1625
Campo Real                                  ;2020/04/13 07:00:00;14;232,4;21;348,61;339
Valdeavero                                  ;2020/04/13 07:00:00;;94,97;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/13 07:00:00;;146,84;;440,53;1739
Cobeña                                      ;2020/04/13 07:00:00;9;120,69;29;388,9;416
Fresnedillas de la Oliva                    ;2020/04/13 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/13 07:00:00;;196;12;470,4;1659
El Berrueco                                 ;2020/04/13 07:00:00;;778,82;7;1090,34;210
Pezuela de las Torres                       ;2020/04/13 07:00:00;;0;;384,62;1111
Villar del Olmo                             ;2020/04/13 07:00:00;;298,51;;398,01;1795
Guadarrama                                  ;2020/04/13 07:00:00;45;284,85;85;538,04;685
San Martín de Valdeiglesias                 ;2020/04/13 07:00:00;17;199,32;51;597,96;1338
Torrelodones                                ;2020/04/13 07:00:00;40;154,24;103;397,16;1527
Boadilla del Monte                          ;2020/04/13 07:00:00;72;136,27;200;378,52;225
Torrejón de Velasco                         ;2020/04/13 07:00:00;;101,24;14;354,34;1505
Villanueva de Perales                       ;2020/04/13 07:00:00;;414,94;;518,67;1782
Tielmes                                     ;2020/04/13 07:00:00;;133,16;28;1242,79;1467
San Sebastián de los Reyes                  ;2020/04/13 07:00:00;187;203,83;357;389,14;1343
Guadalix de la Sierra                       ;2020/04/13 07:00:00;12;201,17;27;452,64;679
Humanes de Madrid                           ;2020/04/13 07:00:00;32;155,28;85;412,46;730
Chinchón                                    ;2020/04/13 07:00:00;11;213,14;23;445,65;528
Cadalso de los Vidrios                      ;2020/04/13 07:00:00;;32,86;;164,31;318
Hoyo de Manzanares                          ;2020/04/13 07:00:00;9;117,48;19;248,01;724
Torrejón de la Calzada                      ;2020/04/13 07:00:00;8;92,8;21;243,59;1492
Estremera                                   ;2020/04/13 07:00:00;;247,12;;329,49;552
Corpa                                       ;2020/04/13 07:00:00;;0;6;1438,85;480
Meco                                        ;2020/04/13 07:00:00;29;207,41;114;815,33;838
Madarcos                                    ;2020/04/13 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/13 07:00:00;;186,68;;248,91;1837
Arganda del Rey                             ;2020/04/13 07:00:00;121;208,82;272;469,42;148
Collado Mediano                             ;2020/04/13 07:00:00;7;106,5;12;182,57;468
Daganzo de Arriba                           ;2020/04/13 07:00:00;11;101,53;36;332,29;534
Manzanares El Real                          ;2020/04/13 07:00:00;14;161,51;28;323,03;822
Buitrago del Lozoya                         ;2020/04/13 07:00:00;;88,3;11;485,65;278
Valdelaguna                                 ;2020/04/13 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/13 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/13 07:00:00;;88,03;9;264,08;360
Miraflores de la Sierra                     ;2020/04/13 07:00:00;9;163,1;29;525,55;856
Paracuellos de Jarama                       ;2020/04/13 07:00:00;26;113;61;265,11;1049
El Vellón                                   ;2020/04/13 07:00:00;;211,27;11;774,65;1684
Lozoya                                      ;2020/04/13 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/13 07:00:00;120;173,22;260;375,32;474
Colmenarejo                                 ;2020/04/13 07:00:00;10;123,62;23;284,34;442
Villavieja del Lozoya                       ;2020/04/13 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/13 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/13 07:00:00;;164,96;9;296,93;301
Sevilla la Nueva                            ;2020/04/13 07:00:00;21;211,08;34;341,74;1415
La Acebeda                                  ;2020/04/13 07:00:00;;0;;0;14
Redueña                                     ;2020/04/13 07:00:00;;0;;584,8;1219
